Name,Status,URL,Clean URL,Payouts,Life time,Monitoring,Admin rate,User rate,Funds return,Min deposit,Max deposit,Referral bonus,Payment methods
Forex Prestige,PAYING,http://forex-prestige.com/?ref=goldpoll,http://forex-prestige.com,103-130% after 1 day!,9 days,9 days,1,0.1,118.00%,$10,"$50,000",3%,"['Ego', 'PerfectM']"
MDLFund,PAYING,http://mdlfund.com/?ref=goldpoll,http://mdlfund.com,103-131% after 1 day!,6 days,5 days,1,0.7,109.00%,$10,"$100,000",2%,"['Ego', 'PerfectM']"
Ebuild Group,PAYING,http://ebuildgroup.com/?ref=goldpoll,http://ebuildgroup.com,27.5-40% daily!,7 days,7 days,1,0.1,116.50%,$10,n/a,2%,['PerfectM']
VIP Realty,PAYING,https://viprealty.cc/?ref=goldpoll,http://viprealty.cc,102-120% after 1 day!,39 days,10 days,1,0.9,114.00%,$10,"$100,000",1%,"['Ego', 'PerfectM']"
BustaBank,PAYING,https://bustabank.com/?ref=goldpoll,http://bustabank.com,1.4-2.5% daily!,8 days,6 days,1,1.1,4.20%,$10,"$100,000",5%,"['Ego', 'PerfectM']"
Doubles BTC,PAYING,http://doublesbitcoin.com/?ref=goldpoll,http://doublesbitcoin.com,10-25% daily!,7 days,7 days,1,0.1,90.00%,$1,"$100,000",5%,"['Ego', 'PerfectM']"
Safety Depositary,WAITING,http://safetydepositary.net/?ref=goldpoll,http://safetydepositary.net,110-116% after 30 days!,25 days,22 days,1,0.1,0.00%,$50,"$250,000",1-5%,"['Ego', 'PerfectM']"
Eccoprix,PAYING,https://eccoprix.com/index.php?r=185,http://eccoprix.com,103-122% after 1 day!,5 days,5 days,1,1.0,109.00%,$10,"$100,000",3%,"['Ego', 'PerfectM']"
Gold Profit Explorer Co,WAITING,http://goldprofitexplorer.com/?ref=goldpoll,http://goldprofitexplorer.com,101-110% after 1 day!,4 days,4 days,1,0.1,0.00%,$50,"$100,000",2-10%,['PerfectM']
Hyip Roads,PAYING,https://hyiproads.com/?ref=goldpoll,http://hyiproads.com,104-120% after 1 day!,3 days,3 days,1,0.3,112.00%,$5,"$6,000",6%,"['Bankwire', 'Ego', 'PerfectM']"
Nisource Inc,PROBLEM,https://nisourceinc.com/?ref=goldpoll,http://nisourceinc.com,4.32-5.2% hourly!,3 days,3 days,1,0.0,107.36%,$8,"$30,000",5%,"['Ego', 'PerfectM']"
FX - Community,WAITING,http://fx-community.com/?ref=goldpoll,http://fx-community.com,14-18% daily!,1 day,1 day,1,0.1,0.00%,$1,"$5,000",5%,['PerfectM']
Lobona,PAYING,http://www.lobona.com/?ref=goldpoll,http://www.lobona.com,6-8% daily!,3 days,3 days,1,0.7,18.00%,$1,n/a,5%,"['Ego', 'PerfectM']"
Queen Investment Ltd,PAYING,https://q-inv.com/link?ref=goldpoll,http://q-inv.com,2-5% daily!,1 day,1 day,1,0.1,2.00%,$1,"$10,000",1-7%,"['Ego', 'PerfectM', 'Stp']"
City Build Trade,WAITING,http://citybuildtrade.com/?ref=goldpoll,http://citybuildtrade.com,105% after 7 days!,3 days,2 days,1,0.1,0.00%,$1,"$500,000",1-10%,"['Ego', 'PerfectM', 'Stp']"
Gamco Funds Ltd,WAITING,https://gamcofundsltd.com/?ref=goldpoll,http://gamcofundsltd.com,5-10% daily!,1 day,1 day,1,0.1,0.00%,$7,"$60,000",5%,"['Ego', 'PerfectM']"
Prime Gold Fund,WAITING,https://primegoldfund.com/?ref=goldpoll,http://primegoldfund.com,104-108% after 1 day!,1 day,0 days,1,0.1,0.00%,$10,"$10,000",4%,"['Ego', 'PerfectM']"
Principal 200,WAITING,http://principal200.com/?ref=goldpoll,http://principal200.com,25-30% daily!,0 days,0 days,1,0.1,0.00%,$1,"$100,000",5%,"['Ego', 'PerfectM']"
Just 1 Hour,PAYING,http://just1hour.info/?ref=goldpoll,http://just1hour.info,102% after 1 hour!,3 days,3 days,1,0.5,142.00%,$5,"$100,000",2-15%,"['Ego', 'PerfectM']"
Engineer Investments,NOT PAYING,http://engineer-inv.com/?ref=goldpoll,http://engineer-inv.com,5-11% daily!,88 days,88 days,1,5.0,235.00%,$1,"$1,000,000",5%,"['Ego', 'PerfectM', 'Stp']"
Hunting - Fund,NOT PAYING,https://hunting-fund.com/?ref=goldpoll,http://hunting-fund.com,104-130% after 1 day!,45 days,45 days,1,0.0,139.40%,$10,"$100,000",1%,['PerfectM']
InflexShares,NOT PAYING,http://inflexshares.com/?ref=IFSgoldpoll,http://inflexshares.com,2-2.5% daily!,59 days,23 days,1,0.0,22.00%,$10,"$50,000",5%,"['Ego', 'PerfectM', 'Stp']"
Stamp Pool Inc,NOT PAYING,https://stamppool.com/home.php?id=miner098,http://stamppool.com,0.5-2.5% daily!,19 days,18 days,1,0.0,13.20%,$10,n/a,1-6%,"['Ego', 'Payza', 'PerfectM']"
Royal Cash Back,NOT PAYING,http://royalcashback.com/?ref=RCB024288,http://royalcashback.com,102.5-110% after 1 day!,6 days,6 days,1,0.1,114.00%,$5,"$10,000",3%,"['Ego', 'PerfectM']"
INVHYIPS,NOT PAYING,http://investmenthyips.com/?ref=goldpoll,http://investmenthyips.com,15-25% daily!,16 days,16 days,1,-0.2,180.00%,$1,"$10,000",5%,"['Ego', 'PerfectM']"
Maxim FX Group,NOT PAYING,http://maximfxgroup.com/?ref=goldpoll,http://maximfxgroup.com,1.5-3% daily!,17 days,16 days,1,3.5,22.00%,$10,"$100,000",4%,['PerfectM']
E - Profitex,NOT PAYING,https://e-profitex.com/?ref=goldpoll,http://e-profitex.com,103-130% after 1 day!,21 days,21 days,1,0.0,143.00%,$10,"$100,000",3%,"['Ego', 'PerfectM']"
Afsa Investment,NOT PAYING,http://afsainvestment.com/?ref=goldpoll,http://afsainvestment.com,21-25% daily!,624 days,624 days,2,5.4,749.00%,$10,n/a,5%,['PerfectM']
Fran Investment,NOT PAYING,http://Franinvestment.com/?ref=goldpoll,http://Franinvestment.com,2-5% daily!,624 days,624 days,1,-1.1,932.00%,$25,n/a,5%,['PerfectM']
